id;message;lkp_message_type_id;sender_user_id;sender_alias;created_by;date_created
1;Solutions Cove;9254;98657;Borders Savings Account functionalities;UAE Dirham International Quality-focused;2021-04-06T12:37:48
2;metrics FTP invoice;10780;40667;sensor;Fresh;2021-04-06T09:09:33
3;executive card;93192;53807;sensor;Direct plug-and-play green;2021-04-05T23:33:15
4;Chief;2503;89107;Brand Industrial;supply-chains indigo Pass;2021-04-05T17:40:28
5;XML Plastic;91051;37649;Nebraska Senior;Licensed Plastic Salad;2021-04-05T18:27:22
6;Bedfordshire virtual;91707;84610;Checking Account;interface Fish;2021-04-05T23:08:42
7;static Fish;60100;33887;Ergonomic Table pixel;convergence;2021-04-06T14:12:46
8;white;68935;10085;Nebraska markets Savings Account;Mountains markets;2021-04-06T11:54:53
9;Intelligent Granite Towels mobile Lithuanian Litas;62510;40252;Concrete;payment;2021-04-06T03:34:38
10;Kids;44387;25954;Colombian Peso Unidad de Valor Real JBOD;alarm white bypass;2021-04-06T07:22:15
